x,y,depth_1,depth_2,depth_3,depth_4,depth_5,avg,var,cover
0,0,0,0,0,0,0,0,0,open
0,10,0,0,0,0,0,0,0,open
0,20,0,0,0,0,0,0,0,open
0,30,0,0,0,0,0,0,0,open
0,40,0,0,0,0,0,0,0,open
10,0,0,0,0,0,0,0,0,open
10,10,0,0,0,0,0,0,0,open
10,20,0,0,0,0,0,0,0,open
10,30,7.5,7,5,2,0,4.3,10.45,open
10,40,0,0,0,0,0,0,0,open
20,0,0,0,0,0,0,0,0,open
20,10,0,0,0,0,0,0,0,open
20,20,0,0,0,0,0,0,0,open
20,30,0,0,0,0,0,0,0,open
20,40,0,0,0,0,0,0,0,open
30,0,0,0,0,0,0,0,0,open
30,10,0,0,0,0,0,0,0,open
30,20,0,0,0,0,0,0,0,open
30,30,0,0,0,0,0,0,0,open
30,40,0,0,0,0,0,0,0,open
40,0,0,0,0,0,0,0,0,open
40,10,0,0,0,0,0,0,0,open
40,20,0,0,0,0,0,0,0,open
40,30,0,0,0,0,0,0,0,open
40,40,0,0,0,0,0,0,0,open
